MUSTANG 10 - DISTRICT - CHINO HILLS,,,,,,,,,,
SEEDING GAMES,,,,,,,,,,
LEFT SIDE IS HOME TEAM FOR POOL PLAY GAMES,,,,,,,,,,
,Score,,,,Score,Date,,,Time,Field
A,16,CHINO HILLS - BLACK,VS,COLTON,1,"Thursday, June 19",,,5:00 PM,4
B,18,CHINO HILLS - RED,VS,MORENO VALLEY,3,"Thursday, June 19",,,7:00 PM,4
C,9,MENIFEE - GREY,VS,CHINO HILLS - RED,15,"Friday, June 20",,,5:00 PM,4
D,3,MORENO VALLEY,VS,CHINO HILLS - BLACK,13,"Friday, June 20",,,7:00 PM,4
E,1,COLTON,VS,MENIFEE - GREY,16,"Saturday, June 21",,,9:00 AM,4
,,,,,,,,,,
SINGLE ELIMINATION GAMES,,,,,,,,,,
HIGHER SEEDED TEAM WILL BE THE HOME TEAM,,,,,,,,,,
,Score,,,,Score,Date,,,Time,Field
F,12,MORENO VALLEY,VS,COLTON,2,"Saturday, June 21",,,1:00 PM,4
G,7,CHINO HILLS RED,VS,MENIFEE GREY,10,"Saturday, June 21",,,3:00 PM,4
H,8,CHINO HILLS BLACK,VS,MORENO VALLEY,7,"Sunday, June 22",,,9:30 AM,4
,,,,, ,,,,,
CHAMPIONSHIP GAME,,,,,,,,,,
COIN FLIP 1 HOUR TO GAME TIME WITH YOUR SITE DIRECTOR,,,,,,,,,,
,Score,,,,Score,Date,,,Time,Field
,3,CHINO HILLS BLACK,VS,MENIFEE GREY,11,"Sunday, June 22",,,11:30 AM,4
,,,,,,,,,,
STRICTLY ENFORCED: NO METAL SPIKES - ALL TURF FIELDS,,,,,,,,,,
TEAMS,,,,RECORD,RA,,CHAMPION,,,
1,CHINO HILLS - BLACK,,,2-0,4,,MENIFEE GREY,,,
2,CHINO HILLS - RED,,,2-0,12,,,,,
3,MENIFEE - GREY,,,1-1,16,,,,,
5,COLTON,,,0-2,32,,,,,
4,MORENO VALLEY,,,0-2,31,,,,,
,,,,,,,,,,
PITCHING LOGS,,,,,,,,,,
NO METAL CLEATS ON PORTABLE MOUNDS,,,,,,,,,,
"***IN LEIU OF INDIVIDUAL GATE FEES, THERE IS A $350 TEAM FEE*** ",,,,,,,,,,
"MUST BE PAID TO THE HOST LEAGUE, PRIOR TO THE START OF YOUR FIRST GAME.  CASH OR CHECK ONLY.  NOT PAID = FORFEIT.",,,,,,,,,,
"NO ANIMALS IN THE PARK, EXCEPT OFFICIAL SERVICE ANIMALS",,,,,"NO COOLERS ALLOWED IN THE PARK, EXCEPT 2 TEAM COOLERS, WHICH MUST STAY IN THE DUGOUT, OR WITH AN ADULT WHO'S ON THE TEAM'S AFFIDAVIT. WE RECOMMEND TOWELS & ICE FOR PLAYERS IN THE 2ND COOLER",,,,,
NO OUTSIDE FOOD & DRINKS / SUPPORT THE HOST LEAGUE'S SNACK BAR,,,,,,,,,,
ANY TEAM WHO FORFEITS A GAME WILL BE ELIMINATED ,,,,,,,,,,
,,,,,,,,,,
TOURNAMENT DIRECTOR,,,,,,,,,,
BRANDON PONCE // 909-534-6141 // b.ponce@pony.org,,,,,,,,,,
TOURNAMENT LOCATION,,,,,,,,,,
CHINO HILLS COMMUNITY PARK - 3280 EUCALYPTUS AVE,,,,,,,,,,
"Tournament Book, Affidavit & Coach's Agreement must be given to the Director 1 hour prior to your first game.",,,,,,,,,,
"WINNER ADVANCES TO REGION, ALL OTHERS ADVANCE TO SECTIONS",,,,,,,,,,
"2 GAME GUARANTEE IN POOL PLAY , 1 GAME GUARANTEE IN SINGLE ELIMINATION PLAY",,,,,,,,,,
